Room_Number,Password,VLAN,Mode
0302A,1234567890,10,bridge
0302B,2345678901,10,bridge
0303A,3456789012,10,bridge
0303B,4567890123,10,bridge
0304A,5678901234,10,bridge
0304B,6789012345,10,bridge
0305A,7890123456,10,bridge
0305B,8901234567,10,bridge
0306A,9012345678,10,bridge
0306B,1023456789,10,bridge
0307A,2134567890,10,bridge
0307B,3245678901,10,bridge
0308A,4356789012,10,bridge
0308B,5467890123,10,bridge
0401A,6578901234,10,bridge
0401B,7689012345,10,bridge
0402A,8790123456,10,bridge
0402B,9801234567,10,bridge
0403A,1912345678,10,bridge
0403B,2023456789,10,bridge
0404A,3134567890,10,bridge
0404B,4245678901,10,bridge
0405A,5356789012,10,bridge
0405B,6467890123,10,bridge
0406B,7578901234,10,bridge
0407A,8689012345,10,bridge
0407B,9790123456,10,bridge
0408B,1801234567,10,bridge
0409A,2912345678,10,bridge
0409B,3023456789,10,bridge
0501A,4134567890,10,bridge
0501B,5245678901,10,bridge
0502A,6356789012,10,bridge
0502B,7467890123,10,bridge
0503A,8578901234,10,bridge
0503B,9689012345,10,bridge
0504A,1790123456,10,bridge
0504B,2801234567,10,bridge
0506A,3912345678,10,bridge
0506B,4023456789,10,bridge
0507A,5134567890,10,bridge
0507B,6245678901,10,bridge
0509A,7356789012,10,bridge
0509B,8467890123,10,bridge
0601A,9578901234,10,bridge
0601B,1689012345,10,bridge
0602A,2790123456,10,bridge
0602B,3801234567,10,bridge
0603A,4912345678,10,bridge
0603B,5023456789,10,bridge
0604A,6134567890,10,bridge
0604B,7245678901,10,bridge
0605A,8356789012,10,bridge
0605B,9467890123,10,bridge
0606A,1578901234,10,bridge
0606B,2689012345,10,bridge
0607A,3790123456,10,bridge
0607B,4801234567,10,bridge
0608A,5912345678,10,bridge
0608B,6023456789,10,bridge
0609A,7134567890,10,bridge
0609B,8245678901,10,bridge
0701A,9356789012,10,bridge
0701B,1467890123,10,bridge
0702A,2578901234,10,bridge
0702B,3689012345,10,bridge
0703A,4790123456,10,bridge
